source_protocol,source_file,source_line,legacy_entry_type,legacy_wire_name,legacy_command_id,legacy_command_name,legacy_class,legacy_method,legacy_event,legacy_config_name,legacy_status,legacy_payload_summary,target_domain,target_feature,target_capability,target_rpc_kind,target_axtp_method,target_axtp_event,target_protocol_doc,target_match_basis,confidence,rationale,open_questions
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,41,command,AlphaUpgradeInfo,0xA0001 / 0x0001 -> 0x0081,AlphaUpgradeInfo,,AlphaUpgradeInfo,,,已发送/已解析,"input=BlockInfo/兼容块信息: SubindexHeader(可选,38B) + flash_block:uint32 + slice_size:uint32 + slices_total:uint32 + block_size:uint32 + md5:16B; output=读取 uint32 BE status(4B)；0 表示成功并开始连续发送 AlphaUpgradeData，否则 DFU Failed。",firmware,ota,firmware.ota,stream_owner_method,firmware.beginOta,,,Naming and Taxonomy spec candidate; docs/protocol document not created yet,high,升级/远程升级/升级进度归 firmware.ota，数据块通过业务域建流。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,42,command,AlphaUpgradeData,0xA0002 / 0x0002 -> 0x0082,AlphaUpgradeData,,AlphaUpgradeData,,,已发送/已解析,"input=SliceData: SubindexHeader(可选,38B) + slice_index:uint32 + 固件分片 bytes; output=读取 uint32 BE upgrade_status(4B)：0xFFFFFFFF Success，0xFFFFEEEE Failed，其他状态仅结束 downing。",firmware,ota,firmware.ota,stream_owner_method,firmware.commitOtaBatch,,,Naming and Taxonomy spec candidate; docs/protocol document not created yet,high,升级/远程升级/升级进度归 firmware.ota，数据块通过业务域建流。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,43,command,AlphaDeviceInfo,0xA0003 / 0x0003 -> 0x0083,AlphaDeviceInfo,,AlphaDeviceInfo,,,已发送/已解析,"input=无 payload, dst=0x0002; output=读取 sizeof(DevInfoSt)=97B：product_name[32]、software_ver[32]、serial_number[32]、dev_id:uint8；回调只拷 product/sn/sw。",device,identity,device.identity,method,device.setIdentityConfig,,docs/protocol/device/device.identity.md,matched docs/protocol (docs/protocol/device/device.identity.md),high,设备型号、SN、UID、HWID 等归 device.identity。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,44,command,AlphaDeviceType,0xA0004 / 0x0004 -> 0x0084,AlphaDeviceType,,AlphaDeviceType,,,仅响应/已解析,input=源码无发送封装; 语义为查询类型; output=读取 sizeof(DevTypeSt)=4B：type:uint16 BE + count:uint16 BE；无公开 callback。,device,identity,device.identity,method,device.setIdentityConfig,,docs/protocol/device/device.identity.md,matched docs/protocol (docs/protocol/device/device.identity.md),high,设备型号、SN、UID、HWID 等归 device.identity。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,45,command,BetaDeviceReset,0xB0001 / 0x0001 -> 0x0081,BetaDeviceReset,,BetaDeviceReset,,,已发送/已解析,"input=无 payload, dst=broadcast; output=读取 result(1/2/4B: len=4 读 BE uint32, len=2 读 BE uint16, len=1 读 uint8) -> result==0 回调 onResetDevice(Success)，否则 Failed。",system,initialization,system.initialization,method,system.reset,,docs/protocol/system/system.initialization.md,capability has docs/protocol draft (docs/protocol/system/system.initialization.md); method/event is taxonomy/spec candidate,medium,恢复配置/初始化/复位归 system.initialization。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,46,command,BetaDeviceInfo,0xB0002 / 0x0002 -> 0x0082,BetaDeviceInfo,,BetaDeviceInfo,,,已发送/已解析,"input=无 payload, dst=broadcast; output=变长：dev_count:uint16 BE；每设备 dev_type:uint16 BE + info_flag:uint32 BE + 若干 TLV(len:uint8 + value[len])，已知 product/hw/sw/sn/uid/index。",device,identity,device.identity,method,device.setIdentityConfig,,docs/protocol/device/device.identity.md,matched docs/protocol (docs/protocol/device/device.identity.md),high,设备型号、SN、UID、HWID 等归 device.identity。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,47,command,BetaStartUpgrade,0xB0003 / 0x0003 -> 0x0083,BetaStartUpgrade,,BetaStartUpgrade,,,已发送/已解析,"input=无 payload, dst=broadcast; output=要求 len=4，读取 uint32 BE result；0 表示所有目标 ready 后发送 BetaUpgradeInfo，否则匹配 dst 时 DFU Failed。",firmware,ota,firmware.ota,stream_owner_method,firmware.beginOta,,,Naming and Taxonomy spec candidate; docs/protocol document not created yet,high,升级/远程升级/升级进度归 firmware.ota，数据块通过业务域建流。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,48,command,BetaStopUpgrade,0xB0004 / 0x0004 -> 0x0084,BetaStopUpgrade,,BetaStopUpgrade,,,已发送/已解析,"input=uint32 BE success=0, dst=broadcast; output=不读取 payload；所有目标 src ready 后回调 DFU Success。",firmware,ota,firmware.ota,stream_owner_method,firmware.cancelOta,,,Naming and Taxonomy spec candidate; docs/protocol document not created yet,high,升级/远程升级/升级进度归 firmware.ota，数据块通过业务域建流。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,49,command,BetaUpgradeInfo,0xB0005 / 0x0005 -> 0x0085,BetaUpgradeInfo,,BetaUpgradeInfo,,,已发送/已解析,"input=BlockInfo/兼容块信息: SubindexHeader(可选,38B) + block fields + md5:16B; output=要求 len=4，读取 uint32 BE result；0 后发送第一片 BetaUpgradeData。",firmware,ota,firmware.ota,stream_owner_method,firmware.beginOta,,,Naming and Taxonomy spec candidate; docs/protocol document not created yet,high,升级/远程升级/升级进度归 firmware.ota，数据块通过业务域建流。,
axdp_hid,docs/legacy-migration/evidence/AXDP源码协议扫描清单.md,50,command,BetaUpgradeData,0xB0006 / 0x0006 -> 0x0086,BetaUpgradeData,,BetaUpgradeData,,,已发送/已解析,"input=SliceData: SubindexHeader(可选,38B) + slice_index:uint32 + 固件分片 bytes; output=要求 len=4；读取 uint32 但代码用 htonl(pv[0]) 比较 success/fail/requested_slice_index，驱动下一片或失败。",firmware,ota,firmware.ota,stream_owner_method,firmware.commitOtaBatch,,,Naming and Taxonomy spec candidate; docs/protocol document not created yet,high,升级/远程升级/升级进度归 firmware.ota，数据块通过业务域建流。,
